N, ck
250, 497376.00
500, 1449046.00
750, 2839376.00
1000, 4814230.00
1500, 9613272.00
2000, 17278566.00
2550, 28153196.00
3000, 39158868.00
250, 497578.00
500, 1456924.00
750, 2894368.00
1000, 4636346.00
1500, 9781636.00
2000, 17214250.00
2550, 27597512.00
3000, 38777148.00
250, 488088.00
500, 1441388.00
750, 2805068.00
1000, 4714652.00
1500, 10082706.00
2000, 17232154.00
2550, 27542188.00
3000, 39291522.00
250, 502088.00
500, 1448280.00
750, 2931594.00
1000, 4717926.00
1500, 9879852.00
2000, 17731852.00
2550, 28734508.00
3000, 39154478.00
250, 490378.00
500, 1436340.00
750, 2690618.00
1000, 4748752.00
1500, 9605036.00
2000, 17260134.00
2550, 28105738.00
3000, 39051072.00
250, 500230.00
500, 1423626.00
750, 2854264.00
1000, 4501130.00
1500, 10399734.00
2000, 17412170.00
2550, 28612920.00
3000, 39382228.00
250, 517898.00
500, 1442634.00
750, 3085448.00
1000, 4457736.00
1500, 10342862.00
2000, 16851670.00
2550, 27945056.00
3000, 39680996.00
250, 542112.00
500, 1420078.00
750, 2695484.00
1000, 4568310.00
1500, 10148454.00
2000, 17152486.00
2550, 28141640.00
3000, 39063794.00
250, 504286.00
500, 1422690.00
750, 2933988.00
1000, 4714306.00
1500, 9941036.00
2000, 17394534.00
2550, 28861110.00
3000, 38041584.00
250, 521560.00
500, 1426816.00
750, 2879784.00
1000, 4528862.00
1500, 9854096.00
2000, 17524468.00
2550, 27459308.00
3000, 40205930.00
